,Unnamed: 0,EquipmentLength,EquipmentWidth,EquipmentHeight,MinTemp,MaxTemp,TotalValue,Miles,TotalWeight,Tarps,Repeat,TankerUnload,TankerRooms,TankerVolume,TankerVolumeUnit,NumStops,TotalPallets,LoadCommodityMasterLinkID,OriginLatitude,OriginLongitude,DestinationLatitude,DestinationLongitude,Volume_Last_30,Avg_Cost_Last_30,Avg_Rate_Last_30,NTIBooked,NTIAssumed,TenderVolume,S/D Ratio,Avg_Weight_Last_14,Avg_Dist_Last_14,USD/Mile,Avg_Cost_Last_14,Avg_Rate_Last_14,Cost_Volatility_Last_14,Rate_Volatility_Last_14,TRUCKD11,DJTA,DTB3,GASREGW,IPG2122N,IPG3361T3S,GDP,PPIACO,BUSINV,PCU48414841
Unnamed: 0,1.337408349972125,0.033914396580495776,0.0069519355240688085,0.0030853704945332794,0.0,0.005352831803063118,0.05622178515302423,0.08531476391388981,0.07569003721343259,0.016649654424369942,0.09902291139477892,0.0002160172270704308,2.4166541619408122e-05,0.0,0.0,0.0,0.0,0.009759873810858188,0.23853819328485226,0.23735838808595489,0.15037938180746968,0.16086176246496242,0.4983896444879923,0.5242175207468973,0.5357372435250172,0.4807590360643932,0.5020568521564224,0.5004365341311008,0.5079887056760954,0.5006387911627166,0.5350124165037213,0.49909846414540837,0.48311155567370534,0.4909412015469412,0.4958740690435013,0.5109705367289266,0.4725894314392507,0.5329435318737286,0.4735213551060218,0.0004134301324025813,0.5190714457159702,0.486590883631993,0.5042063693141623,0.4950552860552877,0.5084742894988361,0.4656258306525043
EquipmentLength,0.12563915822188298,0.6508048916110565,0.07317069292701994,0.030033389070927896,0.017655056180826634,0.01708667345593895,0.14981204809634008,0.12637845099753586,0.23714955247928216,0.29478186518076566,0.13136178435198254,0.0,0.005910142953738706,0.01395958414414622,0.0,0.0,0.20700825741667206,0.14821818087288818,0.20254703538754648,0.19179678081812912,0.16493255689056463,0.1427105095651091,0.06952232874990738,0.035320171535188294,0.04100270363273406,0.07635593010949382,0.05046103235252186,0.04207807120199192,0.0798401801951294,0.03545411123459674,0.06546138717355765,0.03209778953255271,0.07879025905753423,0.04807011453568144,0.056277546448810334,0.05309387768950469,0.0046591318237139134,0.031182526209644568,0.05220863039156942,0.0,0.000880761913892858,0.05067365019939585,0.010074024690045036,0.0,0.02349076121214133,0.030576124160484497
EquipmentWidth,0.007361020957082687,0.021689631032186796,0.18422675796705645,0.03787969966897142,0.0,0.0,0.0,0.010892647619784368,0.049806963295308204,0.049957198059914276,0.03571946731651332,0.0,0.0,0.0,0.0011240525330808993,0.0,0.08696831030090868,0.07705614139052663,0.03793441614019466,0.04471109090781655,0.005649354244437577,0.01597769033313523,0.008666682812622062,0.005421401522589742,0.0009619504199711582,0.001612233844719313,0.015148567135581992,0.0,0.0,0.005197387019095556,0.006802874188817309,0.0,0.017932699590917256,0.002715132336746917,0.032179776631100054,0.024169855022980524,0.0003452514916073568,0.01772613622625574,0.0,0.05887134503544589,0.0,0.01237395318618928,0.00024357874403513335,0.0,0.008276221289643004,0.0
EquipmentHeight,0.007943617152660343,0.05687067125110579,0.06783429277446018,0.10195468443000744,0.0009740358911187741,0.00592414046560874,0.02867567643723712,0.0,0.013110159897275597,0.014857049155583724,0.040413460025167325,0.04082486406206964,0.014580004479354702,0.0,0.044661871931051866,0.05318859631514661,0.0,0.0,0.012247706130037672,0.014363455476396947,0.00017637688018035114,0.005491595578223762,0.016452360688612666,0.0015991231993632837,0.005587461643841385,0.02698926836606108,0.012362567587984818,0.009863855689534518,0.02025843367776181,0.007234091631036943,0.0,0.004353346009077663,0.010031592785817889,0.0,0.01564267022577126,0.0,0.00010801774697544175,0.004136993113768916,0.028467416974477633,0.0,0.027167506306747802,0.0,0.0,0.0066843978309567564,0.0,0.004407121505662248
MinTemp,0.0017263698564468077,0.03329631527202448,0.0,0.0025678382411502554,0.03532416351613943,0.05320352442731835,0.0,0.0,5.619430182246532e-05,0.007045732985605291,0.0,0.005006996107852935,0.04444378958453221,0.0,0.053372449006592326,0.022638875436915562,0.0,0.0,0.008406328358143922,0.01642191592907638,0.0,0.0066779403938872495,0.0,0.01296501967446595,0.013696250055390768,0.0183368199275602,0.0,0.009671604738379358,0.0,0.0,0.0,0.0,0.016432132121681153,0.022833851645749803,0.024950937360458614,0.0,0.024687921025756232,0.02325165894849457,0.0,0.0027459959165057057,0.0,0.0,0.018368966911977314,0.0,0.0,0.0
MaxTemp,0.0017263698564468077,0.0007001008486713367,0.021038764932630016,0.0,0.019832923604303332,0.024985768910271933,0.006349188862588839,0.0,0.017278918785883723,0.0,0.0,0.0,0.0,0.01197383722437273,0.0,0.011323261015878217,0.014380579605186128,0.0,0.010599042548005144,0.030042809173664864,0.0,0.017583059255284583,0.0,0.0331414391724596,0.03006241677262933,0.0,0.035440559945748795,0.00471694678144674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008560935334910535,0.022627773626819447,0.0,0.0,0.006441218275627936,0.009690813427521316,0.0,0.0061112827376035295,0.010228634095346578,0.011752278639615366
TotalValue,0.18522048459346863,0.1785516697734768,0.0,0.03838251691185679,0.0,0.009302442308857906,1.2023922345309428,0.18608045805280127,0.2317845486500567,0.09991898690142698,0.128166715249594,0.0019889502434962125,0.01646450963924373,0.002268723339208023,0.0,0.0,0.213699441157436,0.2672958853645566,0.4193593847431083,0.40102694323541455,0.2808344509609475,0.25880919988662,0.0,0.07574972023550997,0.015945011163216005,0.0,0.00841272831893658,0.02962028452122567,0.0496051789339349,0.03621757694134331,0.006834157035122246,0.002833543712378539,0.03626467580662629,0.025671978811018903,0.022473558197854793,0.03785022767822177,0.0,0.019303731639922717,0.025413141696337238,0.0,0.003589158126016123,0.019497518772821465,0.024693974268781727,0.0019687332798117296,0.01907795501454368,0.0078351912946939
Miles,0.28494175620724116,0.12659765491769992,0.011062413200638055,0.007592298381953633,0.0,0.0,0.18122464455938125,5.481827126506612,0.2557585795300401,0.10800548633725082,0.17765871882046458,0.005251694961051712,0.0,0.0,0.0,0.07961319964487945,0.11229407575643702,0.15258023699197132,0.4892543524490085,0.5529028715343447,0.5262631680521035,0.6569997028402392,0.03177609110937141,0.032914048197746126,0.041557552277059706,0.036123532300015526,0.042321677107878486,0.03078089185733557,0.025662708348125562,0.03042852175982258,0.02911590618129356,0.03336431982174748,0.041659276815956936,0.023192619199357445,0.03352771302358715,0.021143867941143313,0.0395212966597418,0.03039010364480177,0.03262398055948523,0.0,0.023870056354524216,0.035675750313997945,0.02992218737960517,0.029391251165507448,0.021989974152657688,0.025226810519822784
TotalWeight,0.2289042526584848,0.2133492920490685,0.03656166205595923,0.026629750095580107,0.008252278171242189,0.0051634899292629655,0.2576688311061446,0.25339181512392894,5.305046612413589,0.2706467657996008,0.2698956737848812,0.001763481175878212,0.013106758510398997,0.0,0.0,0.05843369177912017,0.7221940511869516,0.2693021531584616,0.451237301838491,0.4379473227325401,0.27043984208933836,0.2511140653354369,0.07057860572347519,0.07514823215823974,0.06282211165988016,0.07832041228244258,0.08727202885425189,0.0790924735583971,0.08379204362317072,0.08561436759015884,0.09299435034742043,0.09731843613895919,0.07751394078065754,0.08750507255679363,0.09961009082490158,0.07555793153831747,0.04162986537436808,0.11299999013895157,0.07251836628967645,0.013841174835198089,0.07261904024782062,0.04768273361047548,0.04319665295263331,0.038850734367012585,0.05837317894227656,0.06328898462400279
Tarps,0.09427663652756446,0.2942209463768841,0.029533453809999166,0.04894442437665791,0.0,0.0,0.10153821404608321,0.10212122985310113,0.2592728262225925,0.6419851611363181,0.13966341555446737,0.05361741160561362,0.0,0.012329221509821409,0.0,0.059794659469154965,0.21505736677031484,0.11234404019962252,0.17702940563030856,0.20255064353302887,0.13303714068384687,0.12300291142288566,0.029848975696631808,0.03622775045582105,0.055019146341133585,0.0,0.030936359156312987,0.04037543908252905,0.03368071558010666,0.05238491349865093,0.014218913280053425,0.013028203929685178,0.017420129791161143,0.01056820683515447,0.005602637422021051,0.0467045011202285,0.012871556819806784,0.028529347391514026,0.032573916796136304,0.0,0.008115452588364658,0.021820828076992038,0.0,0.004022431814455496,0.007974573267806928,0.025144497068833704
Repeat,0.16370318537907558,0.1428687825845203,0.0008449059442456885,0.00810015260134822,0.0652033752387644,0.0,0.14540520327934026,0.18627752342963344,0.25999241541408447,0.08776599549412722,1.228893374999806,0.0,0.006430229749254224,0.0,0.0,0.02734159393564628,0.22332983275414842,0.259785855660827,0.24701065851097215,0.24711017544836666,0.2365889760399933,0.2140751377782204,0.035108319272684874,0.0499361012759727,0.05709455482734471,0.07861108452003007,0.03521703434673462,0.030231153541005806,0.049641556638583495,0.03480697706017244,0.03317753795654266,0.04644952523165591,0.028280763097756623,0.06478111217419569,0.04494439784640614,0.037071279522802314,0.0537494899817319,0.044579167357110094,0.051449810731040824,0.004132226905808167,0.05305896588076964,0.04247651107333672,0.06154677381019358,0.039662705871664095,0.038533517554500296,0.05865295989017971
TankerUnload,0.0,0.0038118581034716215,0.007008053572451267,0.0,0.0,0.0,0.004840146521076338,0.0,0.002175015602381869,0.0200932004152925,0.0,0.0,0.00023642030379233958,0.06429665114814753,0.024118375204275733,0.0,0.008606560314081246,0.0,0.001301487403294388,0.020737834262371413,0.0008788084233437576,0.005022068576937433,0.0072595152542545005,0.0,0.0,0.0,0.011550007604471668,0.0,0.0,0.0006614393930800544,0.013470145471127681,0.004522511399373652,0.026208912373385962,0.004041707213878976,0.01121366363077625,0.0,0.0,0.01613705813601496,0.014337016211032338,0.015293535009909931,0.017668606791075625,0.0,0.0,0.0,0.0,0.0
TankerRooms,0.0,0.00778755993812652,0.0,0.02397681235033078,0.007297293735970545,0.0,0.007073799580437523,0.01086806251738004,0.0,0.014946652297467278,0.009973016417307523,0.004581698535544465,0.01010883574331789,0.0001984127914869127,0.0,0.0006611321933429615,0.0,0.011076832077238752,0.0037224947349170368,0.0,0.00010207944583651152,0.0,0.02291292407369694,0.007751520995055383,0.0,0.010852168210520041,0.014681112658526674,0.0,0.001431907132915411,0.000475264260598407,0.0007745678379487142,0.004408517824247893,0.03055785947792322,0.0,0.025760801887089402,0.02448908404347816,0.0,0.01000055848314818,0.0,0.01467063356466447,0.0,0.017607793212310208,0.0,0.0,0.0023081700795511972,0.0
TankerVolume,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015046005170725962,0.0,0.0,0.0,0.0,0.0,0.0,0.024184873836685217,0.0,0.004140200019542961,0.0,0.008503740268079651,0.0,0.013901631421505467,0.0,0.0,0.0,0.013635996539225204,0.0,0.0,0.0,0.0,0.0,0.04526454089930665,0.0,0.0,0.002626053047358412,0.0,0.0,0.009083153988479253,0.005229648581279944,0.014518631745145338,0.003617673564212831,0.006954801538996747,0.004433098814867975,0.0069174991420997145
TankerVolumeUnit,0.0,0.0,0.0,0.023327456051807527,0.016904884293270417,0.0,0.00811969659649625,0.0,0.0,0.0013561124612104791,0.0,0.006617826315958197,0.0,0.0,0.008456025693737157,0.0,0.02643436831407353,0.009174317801442289,0.0007677350793786619,0.0,0.002320916782801996,0.0017985749163034193,0.03261174781039422,0.0,0.011158206144564975,0.01654923315241774,0.005631592071055902,0.0,0.0,0.0,0.0,0.0,0.019329362499198366,0.0,0.026173428878490945,0.0,0.0014841275661352515,0.0,0.016607968638128856,0.0,0.006423097567819003,0.0006965516064076915,0.0022205846469598445,0.0,0.0039377336309041056,0.0
NumStops,0.032609318885837624,0.03379279383494671,0.01246322754697804,0.0,0.0011055184384938244,0.0,0.02010701443237961,0.05950564471052533,0.06625036965684772,0.00801233106010546,0.026289991185022288,0.0,0.0,0.031688461758794695,0.0,0.23545307294510565,0.0364517778719291,0.006638607396735274,0.03242246296559825,0.04425716273980518,0.04047910784148723,0.05434487558717249,0.0,0.0,0.021374177046872278,0.0016447901543177323,0.0,0.017032232053145968,0.016413350259823378,0.01253802748175481,0.018020143729287286,0.008144393328379351,0.01431119073351228,0.011363933437294804,0.0,0.010428354024667463,0.013567165522191393,0.01588493023897075,0.0,0.03449377354282124,0.0,0.0038223322789332492,0.02965333839789497,0.00480020917313051,0.0,0.0
TotalPallets,0.09079043373714502,0.17254037831422453,0.018142373652445087,0.0,0.013816062503133164,0.05207466251402204,0.20261624524001887,0.10951045989888852,0.7120462605895326,0.16238483412249938,0.21507099265336826,0.016153262769583954,0.0,0.0,0.033754341972749735,0.0263586304033554,1.79613230106462,0.33442117503438595,0.22956447212442876,0.2154220446192303,0.17457141896263684,0.14613110589189615,0.011841731101242647,0.025841115491638256,0.0083152375611113,0.034134052979094776,0.020353198497410574,0.0020361802085573366,0.0,0.0,0.0,0.022394602241000428,0.016592308089081964,0.051537180875915745,0.028143029214732884,0.027280447788409656,0.0,0.054122439427835456,0.001819732721397127,0.023650506250505465,0.0,0.004724279116720798,0.002639066924167821,0.0,0.005748167481397726,0.0
LoadCommodityMasterLinkID,0.00569620008364935,0.0,0.006030197437183027,0.0,0.000311928450512422,0.0,0.12180662740661585,0.015696203710731105,0.03934478410481845,0.017792740101524984,0.0,0.04311667280324194,0.010149281619868944,0.0,0.0,0.0,0.0014756159865774165,0.5241364765228651,0.09048784096122064,0.062036795034521974,0.017258024069633393,0.0065763490810404335,0.0,0.00499948717200982,0.009949132921405646,0.0,0.016763703010972852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021195579970869627,0.0,0.0,0.00956794288121876,0.0,0.0,0.0,0.01744128554517932,0.009172756270516613,0.006584325156616,0.0,0.0
OriginLatitude,0.6020715705852564,0.18331990828541755,0.05361580989960668,0.0174916391067379,0.0097125642049809,0.02129783713299993,0.4119468298440587,0.48653248213188993,0.4488133505134577,0.18059568102659984,0.239897026914214,0.0,0.0,0.004618344451272627,0.0,0.053802697798945864,0.21701930513202417,0.22875672562014238,4.892213375931713,2.5306317934148064,0.37300459142156583,0.43762576441416456,0.1254824030405448,0.14441229097123287,0.12397902628472934,0.15307054372438156,0.10605986797978773,0.11892724680686495,0.11631337406349473,0.14858754025887677,0.12193201671170772,0.18144662987612215,0.15859818088679312,0.12237961277111076,0.12356687021140633,0.14047932444930566,0.1434742528688142,0.1455610912400287,0.14008241892596018,0.0,0.15668426395495327,0.12888426378474183,0.13626545572029514,0.1322258265941345,0.1194961826746983,0.13210205913266737
OriginLongitude,0.5993660886518848,0.18474067467410915,0.0419508978234413,0.02124196989912175,0.0401190504546145,0.023526723736279287,0.3915249480683114,0.5467456145711891,0.44386861068203043,0.20464752532012653,0.2416393380580555,0.0,0.003130626744479059,0.006962569286365294,0.0,0.06090174789970515,0.22857994011828264,0.2317891984249334,2.5318044510996898,4.868812563569188,0.42279764962458,0.5025488104176326,0.15777372303111825,0.14230797669663087,0.15083475700627336,0.1620356105655194,0.1416106137508759,0.1579387039511353,0.13177363479918558,0.15228900899110442,0.13565015462469177,0.1651961154597421,0.17556658994243257,0.18396816172741381,0.1454241315103273,0.17055163339120227,0.14357749120963348,0.13982197600899582,0.14778411040515316,0.0,0.14643560671396116,0.15555069587674453,0.13840588306271062,0.1720238045045459,0.1591170093645209,0.11819038622240186
DestinationLatitude,0.3023997104155569,0.16761767887935175,0.002847210959476598,0.0008651531116079525,0.0018162998393913554,0.0037479249164436013,0.28547539630954955,0.5264209912674982,0.2691182709633182,0.11579533523920649,0.23041867200332433,0.00101257477048744,0.0005901650173409934,0.0014545820505471596,0.0,0.05677354168023285,0.1689952890013906,0.19089144192970675,0.36970789942826077,0.4250006508847157,5.391501380030865,2.664102639016542,0.059778108839006805,0.04487014830456193,0.08765729216736062,0.06580917160918887,0.07466635147257872,0.05762678929536058,0.06698077406743863,0.04807062265948048,0.0583971155292442,0.05457501091390249,0.06919261527104137,0.06690260888603738,0.0725781847319924,0.062450615082158656,0.08445616396712996,0.058605814424947056,0.06614593023511617,0.0,0.06857368844137035,0.07015123301990656,0.08307333349521251,0.0670857577076891,0.0701513882692737,0.06734012995286509
DestinationLongitude,0.28419772783799235,0.15768984076677572,0.019943372940270265,0.008714536501890358,0.0,0.011543255652217255,0.2647635460354021,0.6522620935959078,0.25148547796705767,0.11415657968918236,0.21526227886263083,0.0,0.0006456288882557004,0.0,0.0,0.06094354485719933,0.14566524511059065,0.11919546045084228,0.4348015107203791,0.5049355735556755,2.666573098070935,5.383256863436348,0.08171340060064036,0.0947073376525216,0.07964214927396185,0.08023576974158342,0.10443821516913587,0.06734256291374585,0.08476870437195227,0.05658976026207707,0.07530124492174473,0.08745084594575037,0.10273102743011364,0.08580259651912048,0.0751022898244802,0.08350109029567321,0.07589969737723745,0.08046070319403853,0.0696539394271376,0.0,0.07149079083644416,0.07695047599199878,0.073570734561204,0.06551369348465652,0.08917796275506884,0.09296554663995327
Volume_Last_30,0.5072237024079784,0.02923838762376718,0.0035771222486626897,0.016123554441552557,0.0,0.03667150565297117,0.0075877880912065265,0.029216680911479553,0.07658133736877626,0.03855647159285258,0.09070493430724014,0.0,0.012884989978940276,0.0,0.0,0.0,0.02312092701296642,0.04924861961606464,0.13392542602908986,0.1481476919384812,0.08445523414745826,0.07778104623388615,0.7790544579522614,0.7782083518084986,0.7955826289771419,0.7199618763251459,0.7292830689479359,0.7596090957192914,0.7727962970536146,0.7401082179592289,0.7786428710149376,0.7763469118597701,0.7615657590049776,0.7328488027135114,0.766628845494147,0.7587211521169914,0.6142399869774127,0.7193638589146709,0.7889519423588833,0.004555985011062802,0.6708701774817882,0.6583871338651224,0.6107363222976963,0.6112668071735152,0.6537346367800838,0.6478394396584735
